cell,n,var_gap,noise,S,lam,lam_split,lam_rep,kept,g_full,g_full_eiv,g_split,d_formula,d_replicate
deepseek|commonsenseqa,2000,0.0011848333333333329,0.00018092705000000001,0.0010039062833333329,0.847297467998312,0.7350530119223084,1.0679939746445561,True,-0.5275003516668998,-0.5324565488574723,-0.5685442160247276,-0.5932507110548,-0.5323477749150667
deepseek|mathqa,2000,2.3777777777777775e-06,8.377714999999998e-05,-8.13993722222222e-05,-34.23338084112148,-0.944802280284864,-0.24751944936183792,False,-0.5654205607476646,,0.12414587522246638,,
deepseek|mmlu,2000,7.121111111111137e-05,9.742555e-05,-2.6214438888888628e-05,-0.36812287408331534,-0.1554492286325359,0.8429507410221302,False,-0.3635512560461846,,-0.3168265912875793,,
deepseek|truthfulqa,817,0.00010777377777777829,0.00029265246511627906,-0.00018487868733850076,-1.715432929517486,-0.46087914742131675,0.7558854714100139,False,-0.7278950558989816,,-0.5438791810568421,,
gemini|commonsenseqa,2000,0.00014906666666666667,0.00020073349999999998,-5.166683333333332e-05,-0.34660219141323784,-0.14770385567759875,0.8528014922837724,False,-0.14486434108527352,,-0.11790472132843871,,
gemini|mathqa,2000,0.0003177888888888875,0.0001397299,0.0001780589888888875,0.5603058983951591,0.38918399246796986,1.0440018839466736,True,-0.16377049753505127,0.10008203273958916,-0.19684221370609098,0.27895749095810796,-0.18854584147105374
gemini|mmlu,2000,1.0788888888888787e-05,0.00014777265,-0.00013698376111111123,-12.69674407826996,-0.8639154366879721,-0.016254332516740657,False,-0.5767250257466592,,-0.015547665604980922,,
gemini|truthfulqa,817,5.3406222222222005e-05,0.0004142786878824969,-0.0003608724656602749,-6.757123995003678,-0.7699428961216853,0.06596994217322397,False,-0.7238690456376302,,-0.12887407758178193,,
gpt4omini|commonsenseqa,2000,0.0013382333333333337,0.00020068604999999999,0.0011375472833333336,0.8500365780755723,0.7391857531025315,0.9631998303070614,True,-0.2444101261198427,-0.19931896994503906,-0.23724600574506383,-0.1445359056879849,-0.24631026530541586
gpt4omini|mathqa,2000,0.0003248777777777772,0.00015871865,0.0001661591277777772,0.5114511953213166,0.343590477996936,0.9714434971963024,True,-0.3614692704948881,-0.2291418403703589,-0.3391904660306759,-0.031973252265861174,-0.3491612914282905
gpt4omini|mmlu,2000,0.0005034444444444458,0.0001778609,0.0003255835444444458,0.6467119620392859,0.4778819762670953,1.0556092598702396,True,-0.26131096888104266,-0.13091910289351094,-0.2988807557868486,-0.07914452898147617,-0.2831357843749764
gpt4omini|truthfulqa,817,0.00011762222222222283,0.0005093402741738065,-0.0003917180519515837,-3.3303065062953285,-0.6235454761825173,0.6392629873067222,False,-0.3475628188173057,,-0.2503933217376183,,
qwen|commonsenseqa,2000,0.0027202666666666627,0.0002154524,0.002504814266666663,0.920797323791785,0.8532200151940059,1.1204269127217767,True,-0.3969300395386068,-0.3880644439354388,-0.45449695290904685,-0.4466690346210331,-0.40564622979732645
qwen|mathqa,2000,0.0003193777777777787,0.0001627495,0.0001566282777777787,0.4904169565822447,0.32486914762365204,1.043958165095393,True,-0.3726864736988593,-0.2403973810603962,-0.38331294422820966,-0.14081829060921586,-0.3671727058077887
qwen|mmlu,2000,0.0004890666666666666,0.00019295085000000002,0.00029611581666666654,0.6054712718102507,0.4341762629703718,1.0603917134404974,True,-0.3925731552162825,-0.32257317599474133,-0.42979330524465786,-0.33829909476158293,-0.40531560158101443
qwen|truthfulqa,817,0.00042809333333333283,0.0004858495716034272,-5.775623827009436e-05,-0.1349150612096142,-0.06311234901295583,0.7847343245155749,False,-0.4265139481525322,,-0.34176797029447514,,
